Word;DocNumber;TFIDF
SIGNIFICANCE;1;0.068999
SIGNIFICANCE;74;0.104431
SIGNIFICANCE;78;0.094243
SIGNIFICANCE;121;0.047122
SIGNIFICANCE;147;0.055199
SIGNIFICANCE;157;0.160998
SIGNIFICANCE;179;0.049538
SIGNIFICANCE;185;0.039030
SIGNIFICANCE;195;0.077279
SIGNIFICANCE;205;0.056823
SIGNIFICANCE;223;0.074307
SIGNIFICANCE;258;0.034810
SIGNIFICANCE;319;0.080499
SIGNIFICANCE;355;0.055999
SIGNIFICANCE;402;0.148614
SIGNIFICANCE;411;0.065491
SIGNIFICANCE;412;0.104431
SIGNIFICANCE;485;0.068999
SIGNIFICANCE;526;0.058545
SIGNIFICANCE;555;0.087817
SIGNIFICANCE;593;0.101683
SIGNIFICANCE;631;0.053666
SIGNIFICANCE;809;0.117090
SIGNIFICANCE;858;0.066620
SIGNIFICANCE;923;0.094243
SIGNIFICANCE;1151;0.043909
PSEUDOMONAS;1;0.050811
PSEUDOMONAS;7;0.040076
PSEUDOMONAS;8;0.030270
PSEUDOMONAS;18;0.030270
PSEUDOMONAS;61;0.036479
PSEUDOMONAS;62;0.049919
PSEUDOMONAS;79;0.050811
PSEUDOMONAS;80;0.067747
PSEUDOMONAS;81;0.045893
PSEUDOMONAS;82;0.074879
PSEUDOMONAS;123;0.045893
PSEUDOMONAS;135;0.035128
PSEUDOMONAS;148;0.041238
PSEUDOMONAS;152;0.045893
PSEUDOMONAS;159;0.059279
PSEUDOMONAS;160;0.059279
PSEUDOMONAS;161;0.081297
PSEUDOMONAS;176;0.050811
PSEUDOMONAS;177;0.066172
PSEUDOMONAS;178;0.048227
PSEUDOMONAS;188;0.045165
PSEUDOMONAS;200;0.049059
PSEUDOMONAS;250;0.036018
PSEUDOMONAS;260;0.031615
PSEUDOMONAS;265;0.061856
PSEUDOMONAS;271;0.067747
PSEUDOMONAS;282;0.113816
PSEUDOMONAS;384;0.076903
PSEUDOMONAS;394;0.061856
PSEUDOMONAS;427;0.076903
PSEUDOMONAS;447;0.040076
PSEUDOMONAS;458;0.036018
PSEUDOMONAS;459;0.069400
PSEUDOMONAS;460;0.050811
PSEUDOMONAS;469;0.081297
PSEUDOMONAS;479;0.061856
PSEUDOMONAS;505;0.027099
PSEUDOMONAS;550;0.024320
PSEUDOMONAS;556;0.050811
PSEUDOMONAS;590;0.067747
PSEUDOMONAS;611;0.042469
PSEUDOMONAS;668;0.056908
PSEUDOMONAS;696;0.048227
PSEUDOMONAS;753;0.032334
PSEUDOMONAS;778;0.041238
PSEUDOMONAS;800;0.050811
PSEUDOMONAS;802;0.118558
PSEUDOMONAS;842;0.040648
PSEUDOMONAS;865;0.045165
PSEUDOMONAS;884;0.081297
PSEUDOMONAS;890;0.029334
PSEUDOMONAS;905;0.051734
PSEUDOMONAS;912;0.055792
PSEUDOMONAS;913;0.044459
PSEUDOMONAS;922;0.036953
PSEUDOMONAS;987;0.049919
PSEUDOMONAS;989;0.032334
PSEUDOMONAS;1000;0.022230
PSEUDOMONAS;1010;0.066172
PSEUDOMONAS;1042;0.055792
PSEUDOMONAS;1065;0.045165
PSEUDOMONAS;1071;0.040648
PSEUDOMONAS;1077;0.074879
PSEUDOMONAS;1086;0.029334
PSEUDOMONAS;1090;0.035128
PSEUDOMONAS;1091;0.049919
PSEUDOMONAS;1112;0.039519
PSEUDOMONAS;1171;0.038978
PSEUDOMONAS;1180;0.055792
PSEUDOMONAS;1192;0.054719
PSEUDOMONAS;1203;0.051734
PSEUDOMONAS;1227;0.050811
AERUGINOSA;1;0.050564
AERUGINOSA;6;0.038789
AERUGINOSA;7;0.039882
AERUGINOSA;8;0.030123
AERUGINOSA;18;0.030123
AERUGINOSA;62;0.049677
AERUGINOSA;79;0.050564
AERUGINOSA;80;0.067419
AERUGINOSA;81;0.045671
AERUGINOSA;110;0.056632
AERUGINOSA;123;0.045671
AERUGINOSA;135;0.034958
AERUGINOSA;148;0.041038
AERUGINOSA;159;0.058992
AERUGINOSA;160;0.058992
AERUGINOSA;161;0.080903
AERUGINOSA;176;0.050564
AERUGINOSA;177;0.065851
AERUGINOSA;178;0.047993
AERUGINOSA;200;0.048821
AERUGINOSA;250;0.035843
AERUGINOSA;260;0.031462
AERUGINOSA;265;0.061557
AERUGINOSA;271;0.067419
AERUGINOSA;282;0.113264
AERUGINOSA;346;0.045671
AERUGINOSA;394;0.061557
AERUGINOSA;447;0.039882
AERUGINOSA;451;0.044946
AERUGINOSA;458;0.035843
AERUGINOSA;459;0.069063
AERUGINOSA;460;0.050564
AERUGINOSA;469;0.080903
AERUGINOSA;479;0.061557
AERUGINOSA;505;0.026968
AERUGINOSA;550;0.024202
AERUGINOSA;588;0.032547
AERUGINOSA;589;0.051484
AERUGINOSA;590;0.067419
AERUGINOSA;591;0.083282
AERUGINOSA;611;0.042263
AERUGINOSA;668;0.056632
AERUGINOSA;696;0.047993
AERUGINOSA;753;0.032177
AERUGINOSA;778;0.041038
AERUGINOSA;790;0.053426
AERUGINOSA;800;0.050564
AERUGINOSA;802;0.117983
AERUGINOSA;842;0.040451
AERUGINOSA;874;0.076530
AERUGINOSA;884;0.080903
AERUGINOSA;890;0.029192
AERUGINOSA;905;0.051484
AERUGINOSA;912;0.055522
AERUGINOSA;917;0.042903
AERUGINOSA;922;0.036774
AERUGINOSA;945;0.045671
AERUGINOSA;983;0.049677
AERUGINOSA;987;0.049677
AERUGINOSA;988;0.040451
AERUGINOSA;989;0.032177
AERUGINOSA;1000;0.022122
AERUGINOSA;1065;0.044946
AERUGINOSA;1071;0.040451
AERUGINOSA;1077;0.074516
AERUGINOSA;1078;0.039328
AERUGINOSA;1086;0.029192
AERUGINOSA;1091;0.049677
AERUGINOSA;1112;0.039328
AERUGINOSA;1171;0.038789
AERUGINOSA;1173;0.034958
AERUGINOSA;1203;0.051484
AERUGINOSA;1227;0.050564
INFECTION;1;0.047638
INFECTION;6;0.036544
INFECTION;18;0.028380
INFECTION;57;0.140406
INFECTION;58;0.039231
INFECTION;62;0.046802
INFECTION;81;0.043028
INFECTION;104;0.019908
INFECTION;111;0.031758
INFECTION;123;0.043028
INFECTION;133;0.054443
INFECTION;146;0.056760
INFECTION;160;0.055577
INFECTION;179;0.034201
INFECTION;187;0.052308
INFECTION;188;0.042345
INFECTION;200;0.045995
INFECTION;202;0.033769
INFECTION;253;0.051302
INFECTION;262;0.133386
INFECTION;270;0.027502
INFECTION;271;0.063517
INFECTION;282;0.106709
INFECTION;326;0.029316
INFECTION;333;0.016778
INFECTION;347;0.038110
INFECTION;377;0.035570
INFECTION;427;0.072100
INFECTION;429;0.025900
INFECTION;432;0.037052
INFECTION;437;0.037573
INFECTION;438;0.041683
INFECTION;452;0.040420
INFECTION;457;0.050334
INFECTION;458;0.033769
INFECTION;459;0.065066
INFECTION;463;0.037573
INFECTION;475;0.047638
INFECTION;487;0.047638
INFECTION;499;0.054443
INFECTION;505;0.025407
INFECTION;517;0.037052
INFECTION;550;0.022801
INFECTION;556;0.047638
INFECTION;588;0.030663
INFECTION;590;0.063517
INFECTION;592;0.045995
INFECTION;598;0.063517
INFECTION;600;0.062040
INFECTION;609;0.088924
INFECTION;611;0.039817
INFECTION;618;0.083366
INFECTION;682;0.078462
INFECTION;696;0.045215
INFECTION;745;0.022801
INFECTION;754;0.042345
INFECTION;761;0.056760
INFECTION;767;0.037052
INFECTION;769;0.050334
INFECTION;776;0.026413
INFECTION;782;0.028685
INFECTION;784;0.066693
INFECTION;790;0.050334
INFECTION;800;0.047638
INFECTION;804;0.024252
INFECTION;812;0.027502
INFECTION;863;0.086055
INFECTION;865;0.042345
INFECTION;874;0.072100
INFECTION;903;0.070203
INFECTION;905;0.048504
INFECTION;917;0.040420
INFECTION;922;0.034646
INFECTION;983;0.046802
INFECTION;987;0.046802
INFECTION;988;0.038110
INFECTION;989;0.030315
INFECTION;1063;0.078462
INFECTION;1065;0.042345
INFECTION;1071;0.038110
INFECTION;1080;0.106709
INFECTION;1091;0.046802
INFECTION;1102;0.068403
INFECTION;1170;0.031020
INFECTION;1171;0.036544
INFECTION;1173;0.032935
RESPIRATORY;1;0.044073
RESPIRATORY;6;0.033810
RESPIRATORY;7;0.034762
RESPIRATORY;8;0.026256
RESPIRATORY;11;0.042553
RESPIRATORY;15;0.063285
RESPIRATORY;17;0.052513
RESPIRATORY;25;0.091411
RESPIRATORY;31;0.044073
RESPIRATORY;37;0.025185
RESPIRATORY;56;0.033353
RESPIRATORY;80;0.058764
RESPIRATORY;99;0.052513
RESPIRATORY;103;0.034762
RESPIRATORY;110;0.049362
RESPIRATORY;118;0.028699
RESPIRATORY;133;0.050369
RESPIRATORY;135;0.030470
RESPIRATORY;148;0.035770
RESPIRATORY;159;0.051419
RESPIRATORY;160;0.051419
RESPIRATORY;176;0.044073
RESPIRATORY;177;0.057398
RESPIRATORY;179;0.031642
RESPIRATORY;187;0.048394
RESPIRATORY;206;0.043300
RESPIRATORY;212;0.056093
RESPIRATORY;219;0.030099
RESPIRATORY;223;0.047463
RESPIRATORY;243;0.039808
RESPIRATORY;265;0.053654
RESPIRATORY;271;0.058764
RESPIRATORY;297;0.024681
RESPIRATORY;307;0.020066
RESPIRATORY;322;0.025185
RESPIRATORY;325;0.024437
RESPIRATORY;331;0.030470
RESPIRATORY;333;0.015523
