Word;DocNumber;TFIDF
signific;1;0.017857
signific;74;0.027027
signific;78;0.024390
signific;121;0.012195
signific;147;0.028571
signific;157;0.041667
signific;179;0.012821
signific;185;0.020202
signific;195;0.020000
signific;205;0.014706
signific;223;0.038462
signific;258;0.009009
signific;319;0.020833
signific;355;0.028986
signific;402;0.038462
signific;411;0.016949
signific;412;0.027027
signific;485;0.017857
signific;526;0.030303
signific;555;0.022727
signific;593;0.026316
signific;631;0.027778
signific;809;0.030303
signific;858;0.017241
signific;923;0.024390
signific;1151;0.022727
signific;6;0.013699
signific;19;0.012500
signific;24;0.011494
signific;30;0.013514
signific;47;0.013333
signific;52;0.020000
signific;53;0.023256
signific;54;0.038462
signific;62;0.017544
signific;65;0.016667
signific;68;0.030303
signific;80;0.023810
signific;84;0.022727
signific;88;0.024390
signific;89;0.011905
signific;102;0.013514
signific;106;0.016129
signific;107;0.012500
signific;115;0.018519
signific;137;0.014706
signific;141;0.011364
signific;145;0.016667
signific;154;0.027027
signific;156;0.031250
signific;161;0.028571
signific;167;0.030303
signific;181;0.016393
signific;192;0.013158
signific;204;0.050000
signific;217;0.029412
signific;221;0.023810
signific;230;0.019231
signific;231;0.031250
signific;232;0.021739
signific;238;0.018182
signific;242;0.016949
signific;243;0.016129
signific;244;0.013889
signific;246;0.013333
signific;253;0.019231
signific;259;0.014493
signific;272;0.012821
signific;278;0.009804
signific;283;0.020833
signific;284;0.020408
signific;286;0.014925
signific;306;0.009259
signific;313;0.012346
signific;316;0.021739
signific;317;0.012195
signific;323;0.018868
signific;345;0.012195
signific;346;0.016129
signific;348;0.010753
signific;349;0.018519
signific;356;0.020833
signific;357;0.032258
signific;358;0.011905
signific;361;0.034483
signific;366;0.025641
signific;373;0.014706
signific;375;0.013514
signific;400;0.012346
signific;414;0.014493
signific;421;0.015625
signific;424;0.011111
signific;426;0.024390
signific;440;0.012821
signific;447;0.014085
signific;455;0.027778
signific;462;0.011494
signific;463;0.014085
signific;471;0.020833
signific;519;0.013158
signific;523;0.026316
signific;528;0.019231
signific;530;0.010753
signific;536;0.022727
signific;545;0.014286
signific;546;0.017857
signific;567;0.009346
signific;577;0.014925
signific;587;0.014706
signific;588;0.011494
signific;597;0.014706
signific;604;0.018519
signific;613;0.015873
signific;625;0.022222
signific;635;0.016393
signific;639;0.032258
signific;643;0.008403
signific;645;0.021739
signific;652;0.011765
signific;661;0.012987
signific;662;0.021739
signific;663;0.050000
signific;668;0.020000
signific;676;0.007299
signific;678;0.016667
signific;679;0.017857
signific;686;0.011765
signific;689;0.013514
signific;691;0.021277
signific;700;0.045455
signific;702;0.012346
signific;707;0.020408
signific;716;0.013333
signific;737;0.020833
signific;740;0.012346
signific;742;0.009615
signific;743;0.016667
signific;746;0.008475
signific;750;0.021739
signific;751;0.014085
signific;753;0.011364
signific;754;0.015873
signific;757;0.019608
signific;758;0.018519
signific;779;0.010309
signific;780;0.052632
signific;790;0.018868
signific;795;0.013514
signific;803;0.013889
signific;807;0.013158
signific;811;0.011765
signific;812;0.010309
signific;813;0.018182
signific;820;0.024390
signific;831;0.019231
signific;853;0.025000
signific;859;0.031250
signific;865;0.015873
signific;874;0.027027
signific;876;0.016949
signific;878;0.023256
signific;890;0.010309
signific;895;0.016667
signific;896;0.013514
signific;904;0.026316
signific;946;0.014286
signific;951;0.012821
signific;955;0.008850
signific;956;0.008000
signific;958;0.040000
signific;959;0.019231
signific;961;0.013333
signific;967;0.018868
signific;971;0.020833
signific;976;0.014286
signific;988;0.014286
signific;992;0.021277
signific;1003;0.009615
signific;1006;0.014085
signific;1016;0.010989
signific;1025;0.041667
signific;1054;0.031250
signific;1060;0.031250
signific;1076;0.016129
signific;1078;0.013889
signific;1101;0.018182
signific;1107;0.015385
signific;1116;0.018182
signific;1117;0.019231
signific;1120;0.008065
signific;1121;0.009091
signific;1127;0.018868
signific;1130;0.012195
signific;1131;0.016949
signific;1136;0.015385
signific;1143;0.012658
signific;1147;0.032258
signific;1149;0.009615
signific;1157;0.010753
signific;1162;0.015385
signific;1167;0.012195
signific;1168;0.021277
signific;1171;0.013699
signific;1172;0.012987
signific;1200;0.013889
signific;1202;0.011494
signific;1204;0.011765
signific;1207;0.013158
signific;1212;0.021277
signific;1215;0.022727
signific;1227;0.017857
signific;1228;0.028571
signific;1239;0.019231
pseudomona;1;0.017857
pseudomona;7;0.014085
pseudomona;8;0.010638
pseudomona;18;0.010638
pseudomona;61;0.012821
pseudomona;62;0.017544
pseudomona;79;0.017857
pseudomona;80;0.023810
pseudomona;81;0.016129
pseudomona;82;0.026316
pseudomona;123;0.016129
pseudomona;135;0.012346
pseudomona;148;0.014493
pseudomona;152;0.016129
pseudomona;159;0.020833
pseudomona;160;0.020833
pseudomona;161;0.028571
pseudomona;176;0.017857
pseudomona;177;0.023256
pseudomona;178;0.016949
pseudomona;188;0.015873
pseudomona;200;0.017241
pseudomona;250;0.012658
pseudomona;260;0.011111
pseudomona;265;0.021739
pseudomona;271;0.023810
pseudomona;282;0.040000
pseudomona;384;0.027027
pseudomona;394;0.021739
pseudomona;427;0.027027
pseudomona;447;0.014085
pseudomona;458;0.012658
pseudomona;459;0.024390
pseudomona;460;0.017857
pseudomona;469;0.028571
pseudomona;479;0.021739
pseudomona;505;0.009524
pseudomona;550;0.008547
pseudomona;556;0.017857
pseudomona;590;0.023810
pseudomona;611;0.014925
pseudomona;668;0.020000
pseudomona;696;0.016949
pseudomona;753;0.011364
pseudomona;778;0.014493
pseudomona;800;0.017857
pseudomona;802;0.041667
pseudomona;842;0.014286
pseudomona;865;0.015873
pseudomona;884;0.028571
pseudomona;890;0.010309
pseudomona;905;0.018182
pseudomona;912;0.019608
pseudomona;913;0.015625
pseudomona;922;0.012987
pseudomona;987;0.017544
pseudomona;989;0.011364
pseudomona;1000;0.007812
pseudomona;1010;0.023256
pseudomona;1042;0.019608
pseudomona;1065;0.015873
pseudomona;1071;0.014286
pseudomona;1077;0.026316
pseudomona;1086;0.010309
pseudomona;1090;0.012346
pseudomona;1091;0.017544
pseudomona;1112;0.013889
pseudomona;1171;0.013699
pseudomona;1180;0.019608
pseudomona;1192;0.019231
pseudomona;1203;0.018182
pseudomona;1227;0.017857
aeruginosa;1;0.017857
aeruginosa;6;0.013699
aeruginosa;7;0.014085
aeruginosa;8;0.010638
aeruginosa;18;0.010638
aeruginosa;62;0.017544
aeruginosa;79;0.017857
aeruginosa;80;0.023810
aeruginosa;81;0.016129
aeruginosa;110;0.020000
aeruginosa;123;0.016129
aeruginosa;135;0.012346
aeruginosa;148;0.014493
aeruginosa;159;0.020833
aeruginosa;160;0.020833
aeruginosa;161;0.028571
aeruginosa;176;0.017857
aeruginosa;177;0.023256
aeruginosa;178;0.016949
aeruginosa;200;0.017241
aeruginosa;250;0.012658
aeruginosa;260;0.011111
aeruginosa;265;0.021739
aeruginosa;271;0.023810
aeruginosa;282;0.040000
aeruginosa;346;0.016129
aeruginosa;394;0.021739
aeruginosa;447;0.014085
aeruginosa;451;0.015873
aeruginosa;458;0.012658
aeruginosa;459;0.024390
aeruginosa;460;0.017857
aeruginosa;469;0.028571
aeruginosa;479;0.021739
aeruginosa;505;0.009524
aeruginosa;550;0.008547
aeruginosa;588;0.011494
aeruginosa;589;0.018182
aeruginosa;590;0.023810
aeruginosa;591;0.029412
aeruginosa;611;0.014925
aeruginosa;668;0.020000
aeruginosa;696;0.016949
aeruginosa;753;0.011364
aeruginosa;778;0.014493
aeruginosa;790;0.018868
aeruginosa;800;0.017857
aeruginosa;802;0.041667
aeruginosa;842;0.014286
aeruginosa;874;0.027027
aeruginosa;884;0.028571
aeruginosa;890;0.010309
aeruginosa;905;0.018182
aeruginosa;912;0.019608
aeruginosa;917;0.015152
aeruginosa;922;0.012987
